sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A16 F32 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:51:41 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A16 F32 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:07:34 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A17 F23 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:08:53 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A17 F61 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:27:14 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A17 F61 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:45:50 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A17 F104 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:40:26 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A17 F104 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:10:58 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A18 F3 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:41:18 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A18 F3 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:27:52 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A18 F11 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:56:41 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A18 F11 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:02:53 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
